category,item,description,is_advanced,Debezium,Flink,Airbyte,Estuary,Arcion,Decodable,Hevo,Fivetran,Striim,StreamSets,Qlik,Upsolver,AWS,GCP
,<b>Orchestration</b>,,FALSE,POST request with JSON config,SQL (Table/SQL API) or Flink Submit Job (DataStream API),UI or CLI (config in YAML),UI or CLI (config in YAML),UI; YAML-driven CLI; API,UI; CLI or API (config in SQL),UI,UI; CLI; API (config in JSON),UI; CLI or API (config in TQL),UI; API,UI; API,CLI; UI; API (config in SQL),UI; CLI; API (config in JSON),UI
<b>Syncs; transformations and schema changes</b>,<b>Auto switch</b>,<p><span class='c3'>(can the engine automatically switch from reading snapshot data to reading incremental data?)</span></p>,FALSE,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%,%Y%[<p>Link</p>](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Introduction.HighLevelView.html),%Y%[<p>Link</p>](https://cloud.google.com/datastream/docs/behavior-overview)
,<b>Snapshot resilience</b>,<p><span class='c3'>(can snapshots be aborted/resumed without inconsistencies?)</span></p>,FALSE,%Y%[<p>Link</p>](https://debezium.io/documentation/reference/stable/connectors/postgresql.html#postgresql-triggering-an-incremental-snapshot),%Y%[<p>Link</p>](https://www.ververica.com/blog/the-release-of-flink-cdc-2.3),%N%,%Y%[<p>Link</p>](https://www.estuary.dev/3-reasons-to-rethink-your-approach-to-change-data-capture/) ,%Y%[<p>Link</p>]() ,%Y%[<p>Link</p>](https://docs.decodable.co/docs/sqlpipeline-reference#processing-guarantees),%N%,%N%[<p>Link</p>](https://fivetran.com/docs/databases#mustallowinitialsyncstorunwithoutinterruption),%N%,%N%,%Y%[<p>Link</p>](https://help.qlik.com/en-US/replicate/November2022/Content/Global_Common/Content/SharedEMReplicate/Tasks%20at%20Runtime/recovery_from_datafolder_loss.htm),%N%,%Y%[<p>Link</p>](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Task.CDC.html#CHAP_Task.CDC.StartPoint.Checkpoint) ,%N%
,<b>Auto table creation</b>,<p><span class='c3'>(can the engine automatically create destination tables without the user manually mapping schemas for each table?)</span></p>,TRUE,%N%,%N%,%N%,%Y%[<p>Link</p>](https://docs.estuary.dev/reference/Connectors/materialization-connectors/PostgreSQL/)  ,%Y%[<p>Link</p>](https://docs.arcion.io/docs/running-replicant/) ,%Y%[<p>Link</p>](),%Y%[<p>Link</p>](https://docs.hevodata.com/pipelines/schema-mapper/auto-mapping-event-types/),%Y%[<p>Link</p>](https://fivetran.com/docs/databases/postgresql#syncoverview)  ,%Y%[<p>Link</p>](),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](https://help.qlik.com/en-US/replicate/November2022/Content/Replicate/Main/Introduction/Replication_Tasks.htm#Tasks%20overview)   ,%Y%[<p>Link</p>](),%Y%[<p>Link</p>](https://aws.amazon.com/dms/schema-conversion-tool/#Key_benefits_of_database_schema_conversion)  ,%Y%[<p>Link</p>](https://cloud.google.com/datastream/docs/behavior-overview)
,<b>Dynamic table reinitialization</b>,<p><span class='c3'>(can the engine smoothly adjust ongoing operations to add or remove tables while preserving existing state? [example](https://ververica.github.io/flink-cdc-connectors/release-2.2/content/connectors/mysql-cdc.html#scan-newly-added-tables))</span></p>,TRUE,%Y%[<p>Link</p>](https://debezium.io/blog/2021/10/07/incremental-snapshots/),%U%[<p>PR underway</p>](https://github.com/ververica/flink-cdc-connectors/issues/1152)Support for MySQL,%N%,%N%,%Y%[<p>Link</p>](https://docs.arcion.io/docs/references/dynamic-reinitialization/) ,%N%,%N%,%N%[<p>Link</p>](https://fivetran.com/docs/getting-started/fivetran-dashboard/connectors/schema#schemachanges),%N%,%N%,%Y%[<p>Link</p>](https://www.qlik.com/blog/the-architectural-principles-of-qlik-replicate-support-for-full-load-and-cdc-data-replication)   ,%N%,%N%,%N%
,<b>Schema evolution mode: auto</b>,<p><span class='c3'>(can the engine automatically capture DDL changes from a source database and replicate them in the target data platform?)</span></p>,TRUE,%N%,%N%,%N%,%N%[<p>Link</p>](https://www.estuary.dev/change-data-capture-landscape/),%Y%[<p>Link</p>]()Support for [Postgres (DDL polling)](https://docs.arcion.io/docs/source-setup/postgresql/#ddl-replication-v2301); Oracle; IBM DB2; MySQL; SQL server,%U%<p>No support for [Postgres](https://docs.decodable.co/docs/connector-reference-postgres-cdc);</p>,%U%<p>No support for [Postgres](https://docs.hevodata.com/sources/dbfs/databases/postgresql/generic-postgresql/);</p>,%U%<p>No support for [Postgres](https://fivetran.com/docs/databases/postgresql#logicalreplication); [Oracle](https://fivetran.com/docs/databases/oracle); [SQL server](https://fivetran.com/docs/databases/sql-server); Limited support for [MySQL](https://fivetran.com/docs/databases/mysql#addinganddroppingcolumns)</p>,%Y%[<p>Link</p>](https://www.striim.com/docs/platform/en/handling-schema-evolution.html)Support for [Postgres (triggers)](https://www.striim.com/docs/platform/en/postgresql-cdc.html);,%U%<p>No support for [Postgres](https://docs.streamsets.com/portal/platform-datacollector/latest/datacollector/UserGuide/Origins/PostgreSQL.html);</p>,%Y%[<p>Link</p>](https://help.qlik.com/en-US/replicate/May2022/Content/Replicate/Main/Endpoints/DDLStatements.htm#Supported%20DDL%20statements)Support for [Postgres (triggers)](https://help.qlik.com/en-US/replicate/May2022/Content/Replicate/Main/PostgreSQL/superuser_not.htm); Oracle; IBM DB2; MySQL; SQL server,%U%<p>No support for [Postgres](https://docs.decodable.co/docs/connector-reference-postgres-cdc);</p>,%Y%[<p>Link</p>](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Introduction.SupportedDDL.html)Support for [Postgres (triggers)](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Source.PostgreSQL.html#CHAP_Source.PostgreSQL.RDSPostgreSQL.NonMasterUser); Oracle; IBM DB2; MySQL; SQL server,%Y%[<p>Link</p>](https://cloud.google.com/datastream/docs/faq#general-source) Support for Postgres (DDL polling); Oracle; MySQL
,<b>Schema evolution mode: [rescue](https://docs.databricks.com/ingestion/auto-loader/schema.html)</b>,<p><span class='c3'>(are unforeseen DDL changes  recorded in a separate rescue data column? [example](https://www.youtube.com/watch?v=VUt4sKBelPo))</span></p>,TRUE,%N%,%N%,%N%,%N%,%N%,%N%,%N%,%N%,%N%,%N%,%N%,%N%,%N%,%N%
<b>Performance</b>,<b>Initial snapshot intra-table parallelism</b>,<p><span class='c3'>(what parallel execution mechanism can be used to speed up the snapshot phase?)</span></p>,TRUE,%Y%[<p>multi-threaded (incubating)</p>](https://issues.redhat.com/browse/DBZ-823),%Y%[<p>distributed</p>](https://www.ververica.com/blog/the-release-of-flink-cdc-2.3),%N%[<p>Link</p>](https://github.com/airbytehq/airbyte/issues/18573),%N%,%Y%[<p>multi-threaded</p>](https://venturebeat.com/data-infrastructure/arcion-now-reads-logs-from-oracle-directly-promises-10x-faster-data-replication/),%N%,%N%,%N%[<p>multi-threaded inter-table parallelism?</p>](https://fivetran.com/docs/databases#safety ),%N%,%N%[<p>Link</p>](https://docs.streamsets.com/platform-datacollector/latest/datacollector/UserGuide/Multithreaded_Pipelines/MultithreadedPipelines.html),%Y%[<p>multi-threaded?</p>](https://help.qlik.com/en-US/replicate/November2022/Content/Global_Common/Content/SharedEMReplicate/Customize%20Tasks/Parallel_Load.htm) ,%N%,%Y%[<p>multi-threaded</p>](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Tasks.CustomizingTasks.TableMapping.SelectionTransformation.Tablesettings.html#CHAP_Tasks.CustomizingTasks.TableMapping.SelectionTransformation.Tablesettings.ParallelLoad) ,%N%
<b>Security and privacy</b>,,,FALSE,,,,,,,,,,,,,,
<b>Operations</b>,<b>Metrics reporters</b>,,FALSE,[JMX](https://debezium.io/documentation/reference/stable/operations/monitoring.html),[Prometheus; JMX; StatsD; Datadog](https://nightlies.apache.org/flink/flink-docs-master/docs/deployment/metric_reporters/),[Open Telemetry; Datadog](https://docs.airbyte.com/operator-guides/collecting-metrics/),[UI or CLI](https://docs.estuary.dev/reference/working-logs-stats/),[New Relic](https://docs.arcion.io/docs/references/cloudlogging/),[Stream](https://docs.decodable.co/docs/system-events-and-metrics),n/a,[Fivetran UI](https://fivetran.com/docs/local-data-processing/internal-objects/metrics-for-statistics),[Web UI; Console; REST API; JMX](https://www.striim.com/docs/platform/en/monitoring-guide.html),[UI](https://docs.streamsets.com/portal/controlhub/latest/help/controlhub/UserGuide/DataCollectors/Monitoring.html),[Qlik EM Console](https://help.qlik.com/en-US/enterprise-manager/November2022/Content/EnterpriseManager/Main/Tasks/MonitoringReplicateTasks.htm),[UI](https://docs.upsolver.com/upsolver-1/administration/monitoring/delays-in-upsolver-pipelines#additional-metrics-for-external-use),[AWS DMS Console](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Monitoring.html#CHAP_Monitoring.Metrics),[UI](https://cloud.google.com/datastream/docs/monitor-a-stream)
